title,content
넘 힐링되는 공연이었어요,"육아로 지쳐있었는데 제가
좋아하는 Coldplay , oasis 명곡들을 오케
스트라로 듣게되어 넘 힐링되고 감동이었어요. 담에 또 공연 가고싶단 생각이 들었어요.

오케스트라 공연 볼까말까  망설이시는분들 강추 합니다."
이런 공연 계속 기획해주세요,기획도 좋고 연주자 한분한분 돋보였던 멋진 공연이었습니다. 귀호강 눈호강 다 하구 왔습니다~
최고였어요,"오케스트라 연주회는 처음인데, 정말 귀 호강, 눈 호강했습니다.
너무 멋집니다.
좋은 음악들을 들으면서 너무 행복했어요.
지휘자님이 말씀도 잘 하시고, 너무 재밌어요
앞으로 자주 찾겠습니다 :)"
어린이 오페라~ 감동이여라^^,"오페라의 제목은 로미오와 줄리엣! 너무나 유명한 이야기이지만, 오페라로 듣는다는 것은 어떤 느낌일까 기대로 두근거렸어요~ 아이의 눈높이에서 진행한다니 온 가족이 부담없이 참여할 수 있고 즐길 수 있는 최고의 무대였습니다! 
3거지 공연 모두 봤어야하는 아쉬움을 뒤로하고 멋진 로미오와 아름다운 줄리엣의 아리아를 들으며 행복한 시간을 보냈습니다. 
돌아오는 길에도 아리아를 찾아 들으며 마무리를 하였답니다! 방학을 맞이한 아이와 함께 공연을 볼 수 있는 시간은 참으로 행복하였습니다! 감사합니다 ??"
즐겁게 잘 봤습니다!,평소 좋아하던 노래를 오케스트라로 들으니 새로우면서도 조화로움에 빠져든 것 같습니다. 오케스트라의 장엄함과 열정적임에 감탄하면서 너무 잘 봤습니다!
환경테마의 감동무대,"여타 다른공연들과 차별을 둔 공연으로 모든 세대 남녀노소 모두가 즐길수 있는 공감대로 가득차고 알차게 구성된 프로그램으로 모든이들 재미와 감동을 주었네요.
특히 저는 영화를 좋아해서인지 넬라판타지아 와 국가대표 ost를 여러 성악가분들의 조화로운 목소리 감동의 목소리가 정말 마음에 들었네요.
앞으로도 모든세대에 어울리는 알찬 프로그램으로 모든이들 감동하게 만드는 이런 공연이 많이 나왔으면 하네요."
아름다운 선율로 소름돋는 시간,수많은 악기와 사람들이 합을 이루어 곡을 완성하는 모습이 아름다웠습니다. 특히 슈만 3번은 라인강이 다양하게 흐르는 모습이 생생하게 그려져서 푹 빠진 채로 들었습니다. 감사합니다.
한스짐버 영화음악콘서트,"너무 마음을 감동주는 영화음악 콘서트입니다
 연주도 너무 멋졌어요 지휘자님도 열성있게
지휘하시고 다음에 또 보기를 바랍니다 ^^"
좋은 공연이었어요!,좋아하는 영화나 드라마 음악도 들으면서 환경에 대해서도 다시 한번 생각해 볼 수 있는 좋은 공연이네요.환경과 공연을 결합하여 사람들이 음악도 즐기고 환경에 대해서도 관심가질 수 있게 하는게정말 좋은 아이디어라고 생각합니다 ㅎㅎㅎ
스페인 밀레니엄 합창단 공연,너무 즐겁고 편안한 시간이었습니다
문학과 함께하는 뮤직 바캉스,너무 좋았다.
